symbol,date,price
Rangers,Jan 2000,64.56
Rangers,Feb 2000,68.87
Rangers,Mar 2000,67
Rangers,Apr 2000,55.19
Rangers,May 2000,48.31
Rangers,Jun 2000,36.31
Rangers,Jul 2000,30.12
Rangers,Aug 2000,41.5
Rangers,Sep 2000,38.44
Rangers,Oct 2000,36.62
Rangers,Nov 2000,24.69
Rangers,Dec 2000,15.56
Rangers,Jan 2001,17.31
Rangers,Feb 2001,10.19
Rangers,Mar 2001,10.23
Rangers,Apr 2001,15.78
Rangers,May 2001,16.69
Rangers,Jun 2001,14.15
Rangers,Jul 2001,12.49
Rangers,Aug 2001,8.94
Rangers,Sep 2001,5.97
Rangers,Oct 2001,6.98
Rangers,Nov 2001,11.32
Rangers,Dec 2001,10.82
Rangers,Jan 2002,14.19
Rangers,Feb 2002,14.1
Rangers,Mar 2002,14.3
Rangers,Apr 2002,16.69
Rangers,May 2002,18.23
Rangers,Jun 2002,16.25
Rangers,Jul 2002,14.45
Rangers,Aug 2002,14.94
Rangers,Sep 2002,15.93
Rangers,Oct 2002,19.36
Rangers,Nov 2002,23.35
Rangers,Dec 2002,18.89
Rangers,Jan 2003,21.85
Rangers,Feb 2003,22.01
Rangers,Mar 2003,26.03
Rangers,Apr 2003,28.69
Rangers,May 2003,35.89
Rangers,Jun 2003,36.32
Rangers,Jul 2003,41.64
Rangers,Aug 2003,46.32
Rangers,Sep 2003,48.43
Rangers,Oct 2003,54.43
Rangers,Nov 2003,53.97
Rangers,Dec 2003,52.62
Rangers,Jan 2004,50.4
Rangers,Feb 2004,43.01
Rangers,Mar 2004,43.28
Rangers,Apr 2004,43.6
Rangers,May 2004,48.5
Rangers,Jun 2004,54.4
Rangers,Jul 2004,38.92
Rangers,Aug 2004,38.14
Rangers,Sep 2004,40.86
Rangers,Oct 2004,34.13
Rangers,Nov 2004,39.68
Rangers,Dec 2004,44.29
Rangers,Jan 2005,43.22
Rangers,Feb 2005,35.18
Rangers,Mar 2005,34.27
Rangers,Apr 2005,32.36
Rangers,May 2005,35.51
Rangers,Jun 2005,33.09
Rangers,Jul 2005,45.15
Rangers,Aug 2005,42.7
Rangers,Sep 2005,45.3
Rangers,Oct 2005,39.86
Rangers,Nov 2005,48.46
Rangers,Dec 2005,47.15
Rangers,Jan 2006,44.82
